8116 4 4
0.001313 0.00132901 0.0012501 0.001377
0.00126 0.001255 0.001255 0.0014
0.00126 0.001255 0.001255 0.0014
0.00139 0.00133 0.001277 0.00139
0.00139 0.00133 0.001277 0.00139
0.00133 0.00132 0.0012901 0.00134
0.00133 0.00132 0.0012901 0.00134
0.00132 0.0013 0.0013 0.001325
0.00132 0.0013 0.0013 0.001325
0.001302 0.0013 0.00125 0.001335
0.001302 0.0013 0.00125 0.001335
0.0013 0.00128192 0.00126005 0.00134
0.0013 0.00128192 0.00126005 0.00134
0.00128192 0.001314 0.0012671 0.001314
0.00128192 0.001314 0.0012671 0.001314
0.00131599 0.0012671 0.00124 0.0013165
0.00131599 0.0012671 0.00124 0.0013165
0.0012501 0.001203 0.001203 0.00126
0.0012501 0.001203 0.001203 0.00126
0.001211 0.0012 0.00119 0.001211
0.001211 0.0012 0.00119 0.001211
0.0012 0.00119 0.00119 0.00125
0.0012 0.00119 0.00119 0.00125
0.0012 0.001259 0.00119 0.001259
0.0012 0.001259 0.00119 0.001259
0.001259 0.00116 0.00115416 0.001259
0.001259 0.00116 0.00115416 0.001259
0.00116 0.001201 0.00116 0.001201
0.00116 0.001201 0.00116 0.001201
0.001202 0.00120501 0.001201 0.00120501
0.001202 0.00120501 0.001201 0.00120501
0.001205 0.00127012 0.00117 0.00127012
0.001205 0.00127012 0.00117 0.00127012
0.00125 0.0013 0.00115 0.0013
0.00125 0.0013 0.00115 0.0013
0.0013 0.0012001 0.001166 0.0013
0.0013 0.0012001 0.001166 0.0013
0.00117003 0.001225 0.00117003 0.00132
0.00117003 0.001225 0.00117003 0.00132
0.001225 0.001225 0.001225 0.001226
0.001225 0.001225 0.001225 0.001226
0.001225 0.0012 0.00118 0.00131111
0.001225 0.0012 0.00118 0.00131111
0.0012898 0.0012 0.0012 0.0012898
0.0012898 0.0012 0.0012 0.0012898
0.0012 0.00128919 0.00119 0.00128919
0.0012 0.00128919 0.00119 0.00128919
0.00128919 0.00126303 0.001225 0.0013249
0.00128919 0.00126303 0.001225 0.0013249
0.001264 0.0012012 0.0012012 0.001264
0.001264 0.0012012 0.0012012 0.001264
0.00121 0.00125 0.0012011 0.0012512
0.00121 0.00125 0.0012011 0.0012512
0.00125 0.00121 0.001201 0.00125
0.00125 0.00121 0.001201 0.00125
0.00121 0.001215 0.00121 0.00129
0.00121 0.001215 0.00121 0.00129
0.001215 0.00123116 0.001215 0.00127
0.001215 0.00123116 0.001215 0.00127
0.00123312 0.001215 0.001215 0.00127
0.00123312 0.001215 0.001215 0.00127
0.001212 0.001212 0.001181 0.001212
0.001212 0.001212 0.001181 0.001212
0.0011812 0.0011812 0.0011811 0.0011812
0.0011812 0.0011812 0.0011811 0.0011812
0.0011812 0.001265 0.0011 0.001265
0.0011812 0.001265 0.0011 0.001265
0.001234 0.0012101 0.0012101 0.001234
0.001234 0.0012101 0.0012101 0.001234
0.0012101 0.0012555 0.00121 0.0012599
0.0012101 0.0012555 0.00121 0.0012599
0.0012101 0.0012499 0.0012101 0.00125
0.0012101 0.0012499 0.0012101 0.00125
0.0012104 0.00123 0.00115 0.00123
0.0012104 0.00123 0.00115 0.00123
0.001171 0.0012011 0.001171 0.0012499
0.001171 0.0012011 0.001171 0.0012499
0.00120111 0.0012 0.0012 0.0012389
0.00120111 0.0012 0.0012 0.0012389
0.0012 0.0012 0.0012 0.0012
0.0012 0.0012 0.0012 0.0012
0.0012 0.0012 0.0012 0.0012
0.0012 0.0012 0.0012 0.0012
0.001235 0.00123995 0.001201 0.0012498
0.001235 0.00123995 0.001201 0.0012498
0.001201 0.0012 0.0012 0.00123499
0.001201 0.0012 0.0012 0.00123499
0.0012 0.0012 0.00115002 0.0012101
0.0012 0.0012 0.00115002 0.0012101
0.00120001 0.00120001 0.00120001 0.001248
0.00120001 0.00120001 0.00120001 0.001248
0.00120001 0.0012499 0.0012 0.0012499
0.00120001 0.0012499 0.0012 0.0012499
0.001201 0.001244 0.001201 0.001244
0.001201 0.001244 0.001201 0.001244
0.00122 0.00120118 0.00120118 0.001244
